tool,metric,value
get_soils_compendium,CapacidadUsoTierra,505
get_hydrology_compendium,CuencaHidrografica,19
get_hydrology_compendium,ocupacioncauce,2
get_hydrology_compendium,puntomuestreoaguasuper,32
get_hydrology_compendium,usosyusuariosrecursohidrico,174
get_hydrogeology_compendium,PuntoHidrogeologico,0
get_hydrogeology_compendium,puntohidrogeologico,208
get_hydrogeology_compendium,puntomuestreoaguasubter,21
get_biotic_compendium,aprovechaforestalpg,1000
get_biotic_compendium,aprovechaforestalpt,1000
get_biotic_compendium,coberturatierra,1000
get_biotic_compendium,ecosistema,1000
get_biotic_compendium,puntomuestreofauna,253
get_biotic_compendium,puntomuestreoflora,501
get_biotic_compendium,transectomuestreofauna,187
get_risk_management_compendium,amenazaotras,1000
get_risk_management_compendium,elementosexpuestosln,1000
get_risk_management_compendium,elementosexpuestospg,0
get_risk_management_compendium,elementosexpuestospt,1000
get_risk_management_compendium,escenriesgoincendio,0
get_risk_management_compendium,escenriesgomovmasa,0
get_risk_management_compendium,eventos_pt,0
get_risk_management_compendium,export_output,0
get_risk_management_compendium,suscept_aventorren,0
get_risk_management_compendium,suscept_incendios,1000
get_risk_management_compendium,suscept_inundaciones,280
get_risk_management_compendium,suscept_movmasa,0
get_risk_management_compendium,vulnerabilidad_ln,0
get_risk_management_compendium,vulnerabilidad_pg,0
get_risk_management_compendium,vulnerabilidad_pt,1000
get_compensation_compendium,compensacionbiodiversidad,37
